Time [s],CA left [°],CA right [°],CA mean [°],Volume [μl],Baseline [mm]
0.0,75.80960512246017,76.85428385111292,76.33194448678654,0.2506411455471332,1.0960260826200057
0.0492839999999999,76.17872347424097,77.33326387423477,76.75599367423787,0.2561348601869073,1.0981564865428717
0.09838,76.12255027229008,77.51325314979836,76.81790171104421,0.2572234872305667,1.0981158935983617
0.14761,75.92622998912124,77.3398502507281,76.63304011992467,0.2580424188405776,1.0978060982762812
0.196798,75.39245649176596,76.91809011298382,76.1552733023749,0.2596787209477144,1.0986084360529027
0.2460129999999999,75.94772906375995,77.49733198570749,76.72253052473371,0.2574347161034511,1.0974217022575004
0.295301,75.6514011899507,77.11055853480158,76.38097986237614,0.2576114041544082,1.0970787346566535
0.344429,75.90541723955799,77.59994453562162,76.7526808875898,0.2574642198428388,1.0970085519180754
0.393626,75.95460405323674,77.32801205234526,76.641308052791,0.2578962526389325,1.097902176550685
0.442845,75.7132528423465,77.14732203395297,76.43028743814975,0.2567221572820236,1.0970589042745609
0.492023,75.95140420030407,77.32165852750144,76.63653136390275,0.2570283719613468,1.0975699661254072
0.541229,75.34795703317099,76.8060123589016,76.07698469603629,0.2505778441307039,1.0940442553488428
0.590955,75.89421361220248,77.45323217507728,76.67372289363988,0.2592558627809831,1.0980320011734923
0.639697,75.75957657446489,77.35326671849641,76.55642164648066,0.2616445003132565,1.0989284521246794
0.68885,76.30192552146694,78.00689149984117,77.15440851065406,0.2631409120587468,1.0996824456209462
0.738043,75.77368157534025,77.35675086502269,76.56521622018147,0.2597419997531265,1.097713787995431
0.7872669999999999,76.09206597989557,77.77197566678161,76.93202082333859,0.261788083719093,1.098698871349315
0.8364619999999999,75.70530230766026,77.3650693160865,76.53518581187339,0.2605906302881907,1.0981806514429844
0.885701,75.37990486841296,76.89940640354132,76.13965563597714,0.2557546482753015,1.096308292025248
0.934858,75.9316323431821,77.48593708268685,76.70878471293447,0.2595980444698005,1.098032939316581
0.984126,75.65416167473342,77.2464952508748,76.45032846280411,0.2561887149705233,1.096663182162114
1.033275,75.84894084146164,77.36406484301916,76.6065028422404,0.2586097222166164,1.0981072896742057
1.082481,75.75626876592166,77.16624635597383,76.46125756094774,0.2546173284396708,1.0963534879161214
1.131683,75.86009750747039,77.32681662650212,76.59345706698625,0.258266565633559,1.0978321049329924
1.180887,76.07250150103664,77.79154499614951,76.93202324859308,0.2579552779878998,1.097699545368643
1.230108,75.80254534048544,77.33710935725222,76.56982734886883,0.2551743610515063,1.0964113967181088
1.279299,75.41445804604248,76.7361991242689,76.07532858515569,0.252702010173734,1.0955202641374544
1.32849,75.78753562173272,77.394249577355,76.59089259954385,0.2572839170658907,1.0970182911030797
1.377712,75.88453407217882,77.42935670240968,76.65694538729426,0.2593753504873885,1.0979689458452306
1.426942,76.02045636111262,77.53336011931859,76.7769082402156,0.2588714349969132,1.0977653459210552
1.4761609999999998,75.94908559103217,77.64501012294747,76.79704785698982,0.2621258055931036,1.099038539271323
1.525756,75.7593257462956,77.28339894859899,76.5213623474473,0.2578438177978024,1.0972020904868884
1.574851,75.7080327874563,77.28513587209744,76.49658432977688,0.2590521926641413,1.0979364255623894
1.623764,76.0739736443642,77.44428727422475,76.75913045929448,0.2580857576422955,1.0979952119954253
1.672942,75.82730851711668,77.61255663408802,76.71993257560234,0.2649423767995956,1.100378459424053
1.722152,75.9329358387576,77.47999126979398,76.70646355427579,0.2612981301799174,1.0987286062909876
1.771356,75.7131429915487,77.42064573234701,76.56689436194785,0.2600989261776179,1.0980245679663347
1.820527,76.07482652988361,77.71313508242649,76.89398080615504,0.2586114329833374,1.0980138791332577
1.86974,75.80993505607708,77.38355886344347,76.59674695976028,0.2584640020714008,1.0977629881428392
1.918957,75.47222084974153,77.06640287413722,76.26931186193937,0.2551839194604156,1.0961435116973637
1.968168,75.89646639582796,77.60676495203825,76.7516156739331,0.2647426763354927,1.0995845930199792
2.017352,75.75569481394577,77.6131604366874,76.68442762531657,0.260558413243603,1.097773807268817
2.066563,75.7701786503061,77.32892429843561,76.54955147437084,0.2565808576327366,1.096539507415547
2.115755,76.08554408663524,77.87930410847737,76.9824240975563,0.2594012641697349,1.0979571409632551
2.164987,75.63408043390132,77.6377271745981,76.63590380424971,0.2644398014860454,1.0982217691231666
2.214168,74.34766689003456,77.36553172410238,75.85659930706848,0.2830425057808872,1.1024529676577937
2.263375,75.30160214032442,77.32060340382837,76.3111027720764,0.2641896644099605,1.0970829348724285
2.312591,75.64794889042972,77.74680002359673,76.69737445701323,0.265891322461475,1.098386270729795
2.361875,75.77651516684136,77.62667975457407,76.70159746070772,0.2589913636758245,1.097233057808123
2.41098,75.7392894049102,77.41087296304602,76.57508118397811,0.2589097023221472,1.0975903149436086
2.460252,75.41474281219267,77.08576056359796,76.25025168789531,0.2584791297479028,1.0964705589940618
2.50941,75.60239777529799,77.64896076309725,76.62567926919762,0.2641711778339715,1.097648156097237
2.558753,75.25642715935453,77.52985461199138,76.39314088567295,0.2692968400484017,1.099824577318979
2.607902,75.63691683498689,77.69599165739626,76.66645424619158,0.2658754617627695,1.0988282122785702
2.657003,75.77202195694763,77.52837179512831,76.65019687603797,0.2622712036291684,1.0984848872140864
2.706238,75.60026150346397,77.38624849219472,76.49325499782935,0.2582298850632604,1.097216784560494
2.755504,75.42429254783387,76.88999597114561,76.15714425948974,0.252485852110254,1.095100058049131
2.804615,75.59298521732033,76.96633254961766,76.279658883469,0.2528541020832369,1.0959560718309
2.853884,75.65946668405758,76.93546394612025,76.29746531508891,0.2527578948207689,1.095979190049949
2.903049,75.84683969856906,77.29964806302783,76.57324388079844,0.2579946192454646,1.0975714899812643
2.952223,75.90229060313474,77.2868021490242,76.59454637607948,0.2572894828555279,1.097524103943238
3.001485,75.90706109116582,77.4026939671305,76.65487752914817,0.2597894144267775,1.0987530035968298
3.050666,75.82826111032111,77.4656416917494,76.64695140103525,0.2572084374426397,1.0975292639830607
3.099853,75.65975969564931,77.25347202693071,76.45661586129,0.2554936244047857,1.096567251037074
3.149174,75.64250737743657,77.2597892036797,76.45114829055814,0.2563247749313379,1.0969583870126385
3.198275,76.16296362631563,77.87041631231168,77.01668996931366,0.26197120939014,1.0991528161700626
3.247531,76.01002337293323,77.62560795996106,76.81781566644715,0.2580922860520627,1.0981490512543914
3.296713,76.24293191348757,77.5755940205994,76.90926296704347,0.2575719955552507,1.098814134614038
3.345932,75.67359743458522,77.19220974881674,76.43290359170098,0.2610302128057676,1.0995697401593505
3.395166,75.54878468130714,77.00862504147173,76.27870486138943,0.2608253774508441,1.0991748617549055
3.444377,76.1266436229195,77.5593792198557,76.8430114213876,0.258804564135036,1.098525217160634
